"MAJCOM, FOA, Etc",Organizational Level,Finding Type,Quantity,Item(s) discovered,Location
ACC,Staff,Unprofessional,2,poster,Workplace Common Area
ACC,Squadron,Unprofessional,1,bottle of alcohol,Workplace Common Area
ACC,Squadron,Unprofessional,1,figurine,Workplace Common Area
ACC,Squadron,Unprofessional,1,figurine,Workplace Common Area
ACC,Squadron,Unprofessional,1,figurine,Workplace Common Area
ACC,Staff,Unprofessional,1,figurine,Workplace Common Area
ACC,Squadron,Unprofessional,1,Morale patch,Workplace Common Area
ACC,Squadron,Unprofessional,2,Morale patch,Workplace Common Area
ACC,Squadron,Unprofessional,1,Morale patch,Workplace Common Area
ACC,Squadron,Unprofessional,2,r-rated movies,Workplace Common Area
ACC,Squadron,Unprofessional,1,r-rated movies,Workplace Common Area
ACC,Squadron,Unprofessional,1,board game,Workplace Common Area
ACC,Squadron,Unprofessional,1,Doofer book,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,Notebook with inappropriate language and photo,Workplace Common Area
ACC,Squadron,Unprofessional,12,historic nose art,Share drive
ACC,Squadron,Unprofessional,17,historic squadron emblem,Share drive
ACC,Squadron,Unprofessional,1,historic squadron emblem,Workplace Common Area
ACC,Squadron,Unprofessional,1,Pole,Workplace Common Area
ACC,Squadron,Unprofessional,2,historic squadron emblem,Share drive
ACC,Squadron,Unprofessional,15,historic squadron emblem,Share drive
ACC,Squadron,Inappropriate/Offensive,1,slide with inappropriate language and photo,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,Paper with inappropriate language,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,file with inappropriate language,Share drive
ACC,Squadron,Unprofessional,2,Historical nose art photographs,Workplace Common Area
ACC,Squadron,Unprofessional,1,nose art photograph,Workplace Common Area
ACC,Squadron,Unprofessional,7,Miscellaneous flight suit patches,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,15,Inappropriate pictures,Share drive
ACC,Squadron,Unprofessional,1,Magazine,Workplace Common Area
ACC,Squadron,Unprofessional,1,Magazine,Workplace Common Area
ACC,Squadron,Unprofessional,3,magazines,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,15,VHS and DVD Movies,Workplace Common Area
ACC,Squadron,Unprofessional,1,Poster,Workplace Common Area
ACC,Squadron,Unprofessional,1,Poster,Workplace Common Area
ACC,Squadron,Unprofessional,8,Magazine,Workplace Common Area
ACC,Squadron,Unprofessional,1,Beer Poster,Workplace Common Area
ACC,Squadron,Unprofessional,1,display item,Workplace Common Area
ACC,Squadron,Unprofessional,1,Decanter,Workplace Common Area
ACC,Squadron,Unprofessional,2,Autographed Photo,Workplace Common Area
ACC,Squadron,Unprofessional,2,Autographed Photo,Workplace Common Area
ACC,Squadron,Unprofessional,1,Magazine,Workplace Common Area
ACC,Squadron,Unprofessional,1,Photo,Workplace Common Area
ACC,Squadron,Inappropriate/Offensive,1,Photo,Workplace Common Area
ACC,Squadron,Unprofessional,1,Photo,Workplace Common Area
ACC,Squadron,Unprofessional,1,Vintage CBRNE Photo,Workplace Common Area
