Name,Address,City,Category,Rating,URL
Sam's Pizza,232 W 231st St,Bronx,Pizza,4.5,http://www.yelp.com/biz/sams-pizza-bronx-2
Land & Sea Restaurant,5535 Broadway,Bronx,American (New),2.5,http://www.yelp.com/biz/land-and-sea-restaurant-bronx
Yummy Thai,4959 Broadway,New York,Thai,3.0,http://www.yelp.com/biz/yummy-thai-new-york
La Piñata Mexican Grill,4930 Broadway,New York,Mexican,3.5,http://www.yelp.com/biz/la-pi%C3%B1ata-mexican-grill-new-york
El Malecon Restaurant,5592 Broadway,Bronx,Latin American,3.0,http://www.yelp.com/biz/el-malecon-restaurant-bronx
Applebee's,76 W 225th St,Bronx,American (Traditional),2.0,http://www.yelp.com/biz/applebees-bronx
Amy's Restaurant,586 W 207th St,New York,Chinese,3.5,http://www.yelp.com/biz/amys-restaurant-new-york
Christos Gyro,3625 Kingsbridge Ave,Bronx,Greek,4.5,http://www.yelp.com/biz/christos-gyro-bronx
Supreme Pizza,318 W 231st St,Bronx,Pizza,4.0,http://www.yelp.com/biz/supreme-pizza-bronx
Rambling House,4292 Katonah Ave,Bronx,Pubs,4.0,http://www.yelp.com/biz/rambling-house-bronx
Curry Spot,4268 Katonah Ave,Bronx,Indian,4.0,http://www.yelp.com/biz/curry-spot-bronx
VIP's Cafe,131 E Gun Hill Rd,Bronx,Sandwiches,3.0,http://www.yelp.com/biz/vips-cafe-bronx-2
Patrizia's of Woodlawn,4358 Katonah Ave,Bronx,Italian,3.5,http://www.yelp.com/biz/patrizias-of-woodlawn-bronx
Eileens Country Kitchen,964 McLean Ave,Yonkers,American (Traditional),3.5,http://www.yelp.com/biz/eileens-country-kitchen-yonkers
Sal's Pizzeria,3167 Bainbridge Ave,Bronx,Pizza,4.0,http://www.yelp.com/biz/sals-pizzeria-bronx
Tomo Sushi - Grill,642 Mclean Ave,Yonkers,Sushi Bars,4.0,http://www.yelp.com/biz/tomo-sushi-grill-yonkers
Broadway Joe's Pizza,5983 Broadway,Bronx,Pizza,4.5,http://www.yelp.com/biz/broadway-joes-pizza-bronx
Gleeson's Sports Bar & Grill,6115 Broadway,Bronx,Sports Bars,4.0,http://www.yelp.com/biz/gleesons-sports-bar-and-grill-bronx
Santa Fe Grill,6025 Broadway,Bronx,Mexican,3.5,http://www.yelp.com/biz/santa-fe-grill-bronx
Ali's Roti Shop,4220 White Plains Rd,Bronx,Trinidadian,4.0,http://www.yelp.com/biz/alis-roti-shop-bronx
