time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-06-09T03:19:37.600Z,18.8444,-64.5887,43,3,Md,5,298.8,0.42580144,0.23,pr,pr14160003,2014-06-09T11:22:06.396Z,"47km N of Road Town, British Virgin Islands",earthquake
2014-06-09T02:34:55.000Z,63.0061,-150.1905,98.1,2.8,ml,,,,0.67,ak,ak11287294,2014-06-09T03:03:37.852Z,"75km SW of Cantwell, Alaska",earthquake
2014-06-09T02:09:23.470Z,-24.6861,-176.1277,35,4.7,mb,,98,4.816,1.25,us,usc000rctm,2014-06-09T10:11:59.402Z,"South of the Fiji Islands",earthquake
2014-06-09T00:39:11.600Z,18.881,-65.3413,46,2.8,Md,5,313.2,0.57222684,0.23,pr,pr14160001,2014-06-09T08:41:40.639Z,"64km N of Culebra, Puerto Rico",earthquake
2014-06-09T00:27:13.300Z,40.4453333,-124.6558333,15.61,2.64,md,52,240,0.2448,0.16,nc,nc72234681,2014-06-09T19:22:08.551Z,"36km WSW of Ferndale, California",earthquake
2014-06-08T23:04:15.000Z,63.6068,-147.7996,0.1,2.5,ml,,,,0.89,ak,ak11287183,2014-06-09T07:06:49.445Z,"62km ENE of Cantwell, Alaska",earthquake
2014-06-08T22:50:59.550Z,40.9702,141.5953,83.22,4.7,mb,,97,1.57,1.32,us,usc000rct1,2014-06-11T07:43:47.621Z,"37km NNE of Misawa, Japan",earthquake
2014-06-08T22:50:49.000Z,51.8167,-177.4746,87.3,3.5,ml,,,,0.63,ak,ak11287173,2014-06-09T06:59:13.523Z,"46km E of Tanaga Volcano, Alaska",earthquake
2014-06-08T21:24:14.390Z,-20.2681,-70.867,16.07,4.3,mb,,144,0.708,1.18,us,usc000rcsl,2014-06-09T05:26:46.013Z,"75km W of Iquique, Chile",earthquake
2014-06-08T20:53:13.080Z,33.7733333,-115.9551667,3.02,2.52,ml,64,60,0.1214,0.16,ci,ci15510049,2014-06-09T16:17:23.841Z,"22km ENE of Coachella, California",earthquake
2014-06-08T20:38:57.500Z,19.0976,-66.8013,44,3.1,Md,10,262.8,0.66834657,0.23,pr,pr14159009,2014-06-09T04:41:26.212Z,"67km N of Hatillo, Puerto Rico",earthquake
2014-06-08T20:19:35.660Z,-31.3844,-68.9493,113.69,4.8,mb,,48,0.277,1.09,us,usc000rcs7,2014-06-09T12:15:21.245Z,"27km NW of Zonda, Argentina",earthquake
2014-06-08T19:07:16.470Z,-10.9266,162.4408,10,4.6,mb,,82,2.865,0.58,us,usc000rcrw,2014-06-09T03:09:57.551Z,"77km SE of Kirakira, Solomon Islands",earthquake
2014-06-08T18:08:18.070Z,28.3951,142.5109,33.41,4.8,mb,,117,8.902,0.67,us,usc000rcru,2014-06-09T02:10:57.867Z,"148km N of Chichi-shima, Japan",earthquake
2014-06-08T18:06:40.500Z,19.1186,-66.8226,36,2.8,Md,16,255.6,0.69529603,0.23,pr,pr14159007,2014-06-09T02:09:11.563Z,"69km N of Hatillo, Puerto Rico",earthquake
2014-06-08T17:57:44.420Z,36.5906,-97.8285,5,2.8,mb_lg,,80,0.151,0.5,us,usc000rcrj,2014-06-09T11:13:05.808Z,"22km NNE of Enid, Oklahoma",earthquake
